stage,model,scope,metric
11,rf,nested OOF development,log_loss
11,rf,nested OOF development,slope
11,xgb,nested OOF development,brier
11,xgb,nested OOF development,intercept
11,xgb,nested OOF development,log_loss
11,xgb,nested OOF development,slope
12,dt,nested OOF development,fn
12,dt,nested OOF development,fp
12,dt,nested OOF development,precision
12,dt,nested OOF development,precision_at_050
12,dt,nested OOF development,recall
12,dt,nested OOF development,recall_at_050
12,dt,nested OOF development,threshold
12,lr,nested OOF development,fn
12,lr,nested OOF development,fp
12,lr,nested OOF development,precision
12,lr,nested OOF development,precision_at_050
12,lr,nested OOF development,recall
12,lr,nested OOF development,recall_at_050
12,lr,nested OOF development,threshold
12,rf,nested OOF development,fn
12,rf,nested OOF development,fp
12,rf,nested OOF development,precision
12,rf,nested OOF development,precision_at_050
12,rf,nested OOF development,recall
12,rf,nested OOF development,recall_at_050
12,rf,nested OOF development,threshold
12,xgb,nested OOF development,fn
12,xgb,nested OOF development,fp
12,xgb,nested OOF development,precision
12,xgb,nested OOF development,precision_at_050
12,xgb,nested OOF development,recall
12,xgb,nested OOF development,recall_at_050
12,xgb,nested OOF development,threshold
13,dt,locked holdout test,calibration_slope
13,dt,locked holdout test,fn
13,dt,locked holdout test,fp
13,dt,locked holdout test,pr_auc
13,dt,locked holdout test,pr_auc_ci_high
13,dt,locked holdout test,pr_auc_ci_low
13,dt,locked holdout test,precision
13,dt,locked holdout test,recall
13,dt,locked holdout test,roc_auc
13,dt,locked holdout test,threshold
13,dt,locked holdout test,tn
13,dt,locked holdout test,tp
13,lr,locked holdout test,calibration_slope
13,lr,locked holdout test,fn
13,lr,locked holdout test,fp
13,lr,locked holdout test,pr_auc
13,lr,locked holdout test,pr_auc_ci_high
13,lr,locked holdout test,pr_auc_ci_low
13,lr,locked holdout test,precision
13,lr,locked holdout test,recall
13,lr,locked holdout test,roc_auc
13,lr,locked holdout test,threshold
13,lr,locked holdout test,tn
13,lr,locked holdout test,tp
13,rf,locked holdout test,calibration_slope
13,rf,locked holdout test,fn
13,rf,locked holdout test,fp
13,rf,locked holdout test,pr_auc
13,rf,locked holdout test,pr_auc_ci_high
13,rf,locked holdout test,pr_auc_ci_low
13,rf,locked holdout test,precision
13,rf,locked holdout test,recall
13,rf,locked holdout test,roc_auc
13,rf,locked holdout test,threshold
13,rf,locked holdout test,tn
13,rf,locked holdout test,tp
13,xgb,locked holdout test,calibration_slope
13,xgb,locked holdout test,fn
13,xgb,locked holdout test,fp
13,xgb,locked holdout test,pr_auc
13,xgb,locked holdout test,pr_auc_ci_high
13,xgb,locked holdout test,pr_auc_ci_low
13,xgb,locked holdout test,precision
13,xgb,locked holdout test,recall
13,xgb,locked holdout test,roc_auc
13,xgb,locked holdout test,threshold
13,xgb,locked holdout test,tn
13,xgb,locked holdout test,tp
14,dt_vs_rf,paired outer folds,folds_agreeing_in_sign
14,dt_vs_rf,paired outer folds,mean_diff
14,dt_vs_rf,paired outer folds,n_folds
14,dt_vs_rf,paired outer folds,sd_diff
14,dt_vs_xgb,paired outer folds,folds_agreeing_in_sign
14,dt_vs_xgb,paired outer folds,mean_diff
14,dt_vs_xgb,paired outer folds,n_folds
14,dt_vs_xgb,paired outer folds,sd_diff
14,lr_vs_dt,paired outer folds,folds_agreeing_in_sign
14,lr_vs_dt,paired outer folds,mean_diff
14,lr_vs_dt,paired outer folds,n_folds
14,lr_vs_dt,paired outer folds,sd_diff
14,lr_vs_rf,paired outer folds,folds_agreeing_in_sign
14,lr_vs_rf,paired outer folds,mean_diff
14,lr_vs_rf,paired outer folds,n_folds
14,lr_vs_rf,paired outer folds,sd_diff
14,lr_vs_xgb,paired outer folds,folds_agreeing_in_sign
14,lr_vs_xgb,paired outer folds,mean_diff
14,lr_vs_xgb,paired outer folds,n_folds
14,lr_vs_xgb,paired outer folds,sd_diff
14,rf_vs_xgb,paired outer folds,folds_agreeing_in_sign
14,rf_vs_xgb,paired outer folds,mean_diff
14,rf_vs_xgb,paired outer folds,n_folds
14,rf_vs_xgb,paired outer folds,sd_diff
16,dt,cross-fitted development,permutation::alter
16,dt,cross-fitted development,permutation::beruf
16,dt,cross-fitted development,permutation::beszeit
16,dt,cross-fitted development,permutation::bishkred
16,dt,cross-fitted development,permutation::buerge
16,dt,cross-fitted development,permutation::famges
16,dt,cross-fitted development,permutation::gastarb
16,dt,cross-fitted development,permutation::hoehe
16,dt,cross-fitted development,permutation::laufkont
16,dt,cross-fitted development,permutation::laufzeit
16,dt,cross-fitted development,permutation::moral
16,dt,cross-fitted development,permutation::pers
16,dt,cross-fitted development,permutation::rate
16,dt,cross-fitted development,permutation::sparkont
16,dt,cross-fitted development,permutation::telef
16,dt,cross-fitted development,permutation::verm
16,dt,cross-fitted development,permutation::verw
16,dt,cross-fitted development,permutation::weitkred
16,dt,cross-fitted development,permutation::wohn
16,dt,cross-fitted development,permutation::wohnzeit
16,dt,final-refit development,shap::alter
16,dt,final-refit development,shap::beruf
16,dt,final-refit development,shap::beszeit
16,dt,final-refit development,shap::bishkred
16,dt,final-refit development,shap::buerge
16,dt,final-refit development,shap::famges
16,dt,final-refit development,shap::gastarb
16,dt,final-refit development,shap::hoehe
16,dt,final-refit development,shap::laufkont
16,dt,final-refit development,shap::laufzeit
16,dt,final-refit development,shap::moral
16,dt,final-refit development,shap::pers
16,dt,final-refit development,shap::rate
16,dt,final-refit development,shap::sparkont
16,dt,final-refit development,shap::telef
16,dt,final-refit development,shap::verm
16,dt,final-refit development,shap::verw
16,dt,final-refit development,shap::weitkred
16,dt,final-refit development,shap::wohn
16,dt,final-refit development,shap::wohnzeit
16,lr,cross-fitted development,permutation::alter
16,lr,cross-fitted development,permutation::beruf
16,lr,cross-fitted development,permutation::beszeit
16,lr,cross-fitted development,permutation::bishkred
16,lr,cross-fitted development,permutation::buerge
16,lr,cross-fitted development,permutation::famges
16,lr,cross-fitted development,permutation::gastarb
16,lr,cross-fitted development,permutation::hoehe
16,lr,cross-fitted development,permutation::laufkont
16,lr,cross-fitted development,permutation::laufzeit
16,lr,cross-fitted development,permutation::moral
16,lr,cross-fitted development,permutation::pers
16,lr,cross-fitted development,permutation::rate
16,lr,cross-fitted development,permutation::sparkont
16,lr,cross-fitted development,permutation::telef
16,lr,cross-fitted development,permutation::verm
16,lr,cross-fitted development,permutation::verw
16,lr,cross-fitted development,permutation::weitkred
16,lr,cross-fitted development,permutation::wohn
16,lr,cross-fitted development,permutation::wohnzeit
16,lr,final-refit development,shap::alter
16,lr,final-refit development,shap::beruf
16,lr,final-refit development,shap::beszeit
16,lr,final-refit development,shap::bishkred
16,lr,final-refit development,shap::buerge
16,lr,final-refit development,shap::famges
16,lr,final-refit development,shap::gastarb
16,lr,final-refit development,shap::hoehe
16,lr,final-refit development,shap::laufkont
16,lr,final-refit development,shap::laufzeit
16,lr,final-refit development,shap::moral
16,lr,final-refit development,shap::pers
16,lr,final-refit development,shap::rate
16,lr,final-refit development,shap::sparkont
16,lr,final-refit development,shap::telef
16,lr,final-refit development,shap::verm
16,lr,final-refit development,shap::verw
16,lr,final-refit development,shap::weitkred
16,lr,final-refit development,shap::wohn
16,lr,final-refit development,shap::wohnzeit
16,rf,cross-fitted development,permutation::alter
16,rf,cross-fitted development,permutation::beruf
16,rf,cross-fitted development,permutation::beszeit
16,rf,cross-fitted development,permutation::bishkred
16,rf,cross-fitted development,permutation::buerge
16,rf,cross-fitted development,permutation::famges
16,rf,cross-fitted development,permutation::gastarb
16,rf,cross-fitted development,permutation::hoehe
16,rf,cross-fitted development,permutation::laufkont
16,rf,cross-fitted development,permutation::laufzeit
16,rf,cross-fitted development,permutation::moral
16,rf,cross-fitted development,permutation::pers
16,rf,cross-fitted development,permutation::rate
16,rf,cross-fitted development,permutation::sparkont
16,rf,cross-fitted development,permutation::telef
16,rf,cross-fitted development,permutation::verm
16,rf,cross-fitted development,permutation::verw
16,rf,cross-fitted development,permutation::weitkred
16,rf,cross-fitted development,permutation::wohn
16,rf,cross-fitted development,permutation::wohnzeit
16,rf,final-refit development,shap::alter
16,rf,final-refit development,shap::beruf
16,rf,final-refit development,shap::beszeit
16,rf,final-refit development,shap::bishkred
16,rf,final-refit development,shap::buerge
16,rf,final-refit development,shap::famges
16,rf,final-refit development,shap::gastarb
16,rf,final-refit development,shap::hoehe
16,rf,final-refit development,shap::laufkont
16,rf,final-refit development,shap::laufzeit
16,rf,final-refit development,shap::moral
16,rf,final-refit development,shap::pers
16,rf,final-refit development,shap::rate
16,rf,final-refit development,shap::sparkont
16,rf,final-refit development,shap::telef
16,rf,final-refit development,shap::verm
16,rf,final-refit development,shap::verw
16,rf,final-refit development,shap::weitkred
16,rf,final-refit development,shap::wohn
16,rf,final-refit development,shap::wohnzeit
16,xgb,cross-fitted development,permutation::alter
16,xgb,cross-fitted development,permutation::beruf
16,xgb,cross-fitted development,permutation::beszeit
16,xgb,cross-fitted development,permutation::bishkred
16,xgb,cross-fitted development,permutation::buerge
16,xgb,cross-fitted development,permutation::famges
16,xgb,cross-fitted development,permutation::gastarb
16,xgb,cross-fitted development,permutation::hoehe
16,xgb,cross-fitted development,permutation::laufkont
16,xgb,cross-fitted development,permutation::laufzeit
16,xgb,cross-fitted development,permutation::moral
16,xgb,cross-fitted development,permutation::pers
16,xgb,cross-fitted development,permutation::rate
16,xgb,cross-fitted development,permutation::sparkont
16,xgb,cross-fitted development,permutation::telef
16,xgb,cross-fitted development,permutation::verm
16,xgb,cross-fitted development,permutation::verw
16,xgb,cross-fitted development,permutation::weitkred
16,xgb,cross-fitted development,permutation::wohn
16,xgb,cross-fitted development,permutation::wohnzeit
16,xgb,final-refit development,shap::alter
16,xgb,final-refit development,shap::beruf
16,xgb,final-refit development,shap::beszeit
16,xgb,final-refit development,shap::bishkred
16,xgb,final-refit development,shap::buerge
16,xgb,final-refit development,shap::famges
16,xgb,final-refit development,shap::gastarb
16,xgb,final-refit development,shap::hoehe
16,xgb,final-refit development,shap::laufkont
16,xgb,final-refit development,shap::laufzeit
16,xgb,final-refit development,shap::moral
16,xgb,final-refit development,shap::pers
16,xgb,final-refit development,shap::rate
16,xgb,final-refit development,shap::sparkont
16,xgb,final-refit development,shap::telef
16,xgb,final-refit development,shap::verm
16,xgb,final-refit development,shap::verw
16,xgb,final-refit development,shap::weitkred
16,xgb,final-refit development,shap::wohn
16,xgb,final-refit development,shap::wohnzeit
